id,store_code,availability,quantity,price
10C-231,01311594006648815184,in_stock,10,712.00 INR
12C-WS101,01311594006648815184,in_stock,10,2079.00 INR
12C 245,01311594006648815184,in_stock,10,1484.00 INR
ZZ03239,01311594006648815184,in_stock,10,2350.00 INR
ZZ02680,01311594006648815184,in_stock,10,115.00 INR
ZZ02685,01311594006648815184,in_stock,10,214.00 INR
ZZ02682,01311594006648815184,in_stock,10,259.00 INR
ZZ02645,01311594006648815184,in_stock,10,655.00 INR
ZZ02689,01311594006648815184,in_stock,10,331.00 INR
ZZ02618,01311594006648815184,in_stock,10,97.00 INR
ZZ02625,01311594006648815184,in_stock,10,214.00 INR
ZZ01702,01311594006648815184,in_stock,10,349.00 INR
ZZ02632,01311594006648815184,in_stock,10,585.00 INR
ZZ02634,01311594006648815184,in_stock,10,223.00 INR
ZZ02641,01311594006648815184,in_stock,10,384.99 INR
ZZ02716,01311594006648815184,in_stock,10,745.00 INR
ZZ07492,01311594006648815184,in_stock,10,14590.00 INR
ZZ04277,01311594006648815184,in_stock,10,15849.99 INR
ZZ04231,01311594006648815184,in_stock,10,7170.00 INR
ZZ06700,01311594006648815184,in_stock,10,7704.98 INR
ZZ04228,01311594006648815184,in_stock,10,7170.00 INR
ZZ06484,01311594006648815184,in_stock,10,5458.99 INR
ZZ04229,01311594006648815184,in_stock,10,4834.66 INR
ZZ04227,01311594006648815184,in_stock,10,7705.00 INR
ZZ04226,01311594006648815184,in_stock,10,7704.98 INR
ZZ04225,01311594006648815184,in_stock,10,7705.00 INR
ZZ06618,01311594006648815184,in_stock,10,7704.98 INR
ZZ08215,01311594006648815184,in_stock,10,9120.00 INR
ZZ08182,01311594006648815184,in_stock,10,6700.00 INR
ZZ08181,01311594006648815184,in_stock,10,7389.98 INR
ZZ02598,01311594006648815184,in_stock,10,254.00 INR
ZZ07660,01311594006648815184,in_stock,10,436.00 INR
ZZ06306,01311594006648815184,in_stock,10,1280.00 INR
ZZ02198,01311594006648815184,in_stock,10,3150.00 INR
ZZ02431,01311594006648815184,in_stock,10,3802.00 INR
ZZ08228,01311594006648815184,in_stock,10,856.00 INR
ZZ01340,01311594006648815184,in_stock,10,164.99 INR
ZZ07571,01311594006648815184,in_stock,10,7498.99 INR
ZZ07457,01311594006648815184,in_stock,10,1739.99 INR
ZZ04283,01311594006648815184,in_stock,10,2559.99 INR
ZZ04287,01311594006648815184,in_stock,10,2970.00 INR
ZZ07017,01311594006648815184,in_stock,10,4600.00 INR
ZZ03476,01311594006648815184,in_stock,10,3149.00 INR
ZZ06337,01311594006648815184,in_stock,10,6930.00 INR
ZZ03477,01311594006648815184,in_stock,10,3699.00 INR
ZZ06569,01311594006648815184,in_stock,10,6290.00 INR
ZZ07096,01311594006648815184,in_stock,10,3999.00 INR
ZZ03734,01311594006648815184,in_stock,10,1754.99 INR
ZZ06576,01311594006648815184,in_stock,10,2315.00 INR
ZZ03478,01311594006648815184,in_stock,10,3519.00 INR
ZZ06494,01311594006648815184,in_stock,10,2290.01 INR
ZZ08204,01311594006648815184,in_stock,10,2540.00 INR
ZZ03479,01311594006648815184,in_stock,10,3519.00 INR
ZZ02876,01311594006648815184,in_stock,10,2890.00 INR
ZZ07170,01311594006648815184,in_stock,10,2750.00 INR
ZZ08250,01311594006648815184,in_stock,10,1650.00 INR
ZZ04256,01311594006648815184,in_stock,10,5860.00 INR
ZZ06673,01311594006648815184,in_stock,10,11000.00 INR
ZZ07173,01311594006648815184,in_stock,10,31025.00 INR
ZZ07473,01311594006648815184,in_stock,10,8900.00 INR
ZZ07482,01311594006648815184,in_stock,10,7000.00 INR
ZZ07459,01311594006648815184,in_stock,10,6500.00 INR
ZZ07461,01311594006648815184,in_stock,10,7900.00 INR
ZZ07460,01311594006648815184,in_stock,10,6299.00 INR
ZZ06585,01311594006648815184,in_stock,10,4599.98 INR
ZZ06586,01311594006648815184,in_stock,10,5730.01 INR
ZZ03647,01311594006648815184,in_stock,10,10975.00 INR
ZZ07451,01311594006648815184,in_stock,10,10667.00 INR
ZZ00290,01311594006648815184,in_stock,10,9482.00 INR
ZZ07863,01311594006648815184,in_stock,10,16198.00 INR
ZZ01644,01311594006648815184,in_stock,10,105.99 INR
ZZ01708,01311594006648815184,in_stock,10,4170.00 INR
ZZ01869,01311594006648815184,in_stock,10,255.00 INR
ZZ07172,01311594006648815184,in_stock,10,7385.01 INR
ZZ06593,01311594006648815184,in_stock,10,7500.00 INR
ZZ06596,01311594006648815184,in_stock,10,8250.00 INR
ZZ06157,01311594006648815184,in_stock,10,17400.00 INR
ZZ06594,01311594006648815184,in_stock,10,5899.99 INR
ZZ06595,01311594006648815184,in_stock,10,3740.00 INR
ZZ06592,01311594006648815184,in_stock,10,9789.99 INR
ZZ08277,01311594006648815184,in_stock,10,1450.00 INR
0001,01311594006648815184,in_stock,10,5250.00 INR
002,01311594006648815184,in_stock,10,1730.01 INR
0003,01311594006648815184,in_stock,10,1599.00 INR
ZZ07442,01311594006648815184,in_stock,10,17998.99 INR
ZZ05705,01311594006648815184,in_stock,10,8200.00 INR
ZZ07579,01311594006648815184,in_stock,10,13490.00 INR
ZZ05906,01311594006648815184,in_stock,10,2750.01 INR
ZZ05908,01311594006648815184,in_stock,10,3789.99 INR
ZZ07834,01311594006648815184,in_stock,10,2190.00 INR
ZZ05907,01311594006648815184,in_stock,10,2090.02 INR
ZZ04821,01311594006648815184,in_stock,10,2090.00 INR
ZZ06736,01311594006648815184,in_stock,10,3299.99 INR
68780000210,01311594006648815184,in_stock,10,135.00 INR
56100801315,01311594006648815184,in_stock,10,2542.00 INR
56320959320,01311594006648815184,in_stock,10,5125.00 INR
ZZ07214,01311594006648815184,in_stock,10,225.00 INR
67150912320,01311594006648815184,in_stock,10,1425.00 INR
